医院名称,等级,特色,电话,地址,简介,科室列表
株洲市第二医院,无,无,"0731-28307065,0731-28307119",湖南株洲市石峰区响田东路269号,,"1.感染科、呼吸科
2.心血管内科
3.内科
4.神经内科
5.消化内科
6.内分泌科
7.泌尿外科
8.普外科
9.骨外科
10.神经外科
11.脊柱外科
12.妇产科
13.儿科
14.疼痛科
15.麻醉科
16.耳鼻喉科
17.肿瘤科
18.精神科
19.药剂科
20.检验科
21.眼科
22.放疗科
23.中医科
24.病理科
"
株洲市第三医院,无,无,0731-22492821(医务科);0731-22497196,株洲市东区何阳村,,"1.内科
2.消化内科
3.急诊科
4.外科
5.泌尿外科
6.神经外科
7.妇产科
8.精神科
9.颈腰痛专科
10.皮肤科
11.放射科
12.手术室
13.药剂科
14.检验科
15.口腔科
"
湖南省醴陵市中医院,三级甲等,无,0731-23243600,醴陵市解放路3号,醴陵市中医院、醴陵市一医院创建于1900年，位于醴陵市瓷城大道3号，是由醴陵市人民政府举办的一所集医疗、科研、教学和预防保健于一体的综合性二级甲等医院，承担了醴陵百万人民的医疗、保健、公共卫生突发事件的处置职能。　　    醴陵市中医院技术力量雄厚，设备精良。现有内一科、内二科、心血管疾病治疗中心、脑科疾病治疗中心、普外科、烧伤科、泌尿外科、妇产科、五官科、中医肿瘤科、痔瘘科、针炙按摩科、骨伤科、肝胆外科等14个住院科室和同仁医院（分院），以及30个功能科室和“120”急救中心。2007年收治住院病人约16000人次，业务收入达到8000多万元，年住院病人数在湖南省中医院中名列第二，在株洲地区所辖二级以上医院中，业务位居第二。烧伤科继2005年在第五届亚太地区烧伤年会荣获“烧伤外科发展贡献金奖”后，2007年再获在韩国首尔召开的第六届亚太地区烧伤会议“杰出成就奖”；医院2007年荣升为“湖南省示范中医院”。近几年来，我院还先后荣获“醴陵市十佳科技进步先进单位”和“省中医医院先进单位”“文明建设先进单位”“湖南省消费者最信赖的医疗机构”称号；“120”急救中心连年荣获“省级青年文明号”称号。其发展势头，引起了国家卫生部、食品、药品监督总局以及有关媒体的关注。中央一台的“朝闻天下”栏目、中华网站的“焦点网谈”、湖南电视台、湖南日报、株洲电视台、株洲日报都相继对我院进行了报道。　　醴陵市中医院长期以来致力于引进人才，挖掘和发扬中医特色，打造品牌科室，注重提升技术水平和追求卓越服务。一方面，努力加强烧伤、骨伤、痔瘘、针灸按摩科等老品牌科室的投入；另一方面，积极引进新技术，又陆续打造脑科、泌尿外科、心内科、五官科、微创外科等新的品牌科室。烧伤科在国际上有较高的地位，是美国哈佛大学的合作伙伴，与台湾烫伤基金会建立了密切来往；骨伤科已经发展成我市第一品牌，断肢（指）再植技术的成功开展，填补了该项技术的空白；痔疮科名列全省三强，声誉响遍省内外；针灸按摩科小针刀、腹针等技术被誉为“湘东一绝”，常有日本、台湾等地商界知名人士慕名前来就诊；脑科疾病治疗中心聚神经内、外科于一体，采取先进的微创技术、颈动脉点滴、4+1疗法等中西医治疗脑血管病变和脑外伤，取得了很好的效果，吸引了不少来自全国各地的患者；由我国顶级心血管专家孙明教授为顾问的心血管治疗中心，成功救治了大批危急重症病人，使我院成为了卫生部全国百万高血压规范化治疗项目湖南省三家定点医院之一。泌尿外科的经皮肾镜、等离子电切镜等高新技术的开展，使我院成为了继湘雅医院之后全省少数几家能开展此技术的医院。五官科拥有两名省内知名眼科、五官科专家，能开展白内障超乳术、鼻内窥镜微创等高水平手术，是卫生部在株洲地区唯一白内障复明定点机构。外科微创技术在本地区已经遥遥领先，肝胆微创外科手术步入全国先进行列。中医院大药房平价购药，系全省首家医院大药房，每年为患者节约费用上百万元。　　今醴陵市中医院着眼于办人民满意医院，以“贴心”服务创造感动，以“贴心”服务牵引真情，让每一位员工以真诚的态度、优良的作风、精湛的技术服务于患者，在平凡中见伟大，在行动中显真情，开展“感动2008”系列活动，架起心与心的桥梁，真情互动，让市民理解和尊重医务工作者，营造良好的社会氛围，树立良好的医院形象，构建和谐的医患关系；同时打造一支统一价值观的优秀团队，进一步明确办院宗旨，从而为全面提高医疗服务质量掀起一个新的高潮。,"1.骨伤科
2.中医内科
3.心内科
4.消化内科
5.五官科
6.神经内科
7.妇产科
8.糖尿病治疗中心
9.呼吸内科
10.中医按摩科
11.中医肿瘤科
12.外科
13.痔瘘科
14.普外科
15.急诊科
16.泌尿外科
17.烧伤整形科
18.脑科疾病治疗专科
19.中医眼科组
20.儿科
"
株洲北雅医院,无,无,0731-8390761(院办),株洲市石峰区天桥街259号,,"1.内科
2.消化内科
3.神经内科
4.肛肠科
5.外科
6.妇产科
7.中医科
8.中医骨伤科
9.麻醉疼痛专科
10.特检科
11.药剂科
12.眼科
13.职业病科
14.口腔科
15.耳鼻喉科
16.影像科
"
株洲市口腔医院,无,无,0733-8207819(门诊),株洲市建设中路168号,,"1.口腔科
2.内科
3.呼吸内科
4.外科
5.耳鼻喉科
6.妇科
7.中医按摩科
8.骨科
9.康复科
"
茶陵县中医院,无,无,"0733-5222258,5241684(院办公室电话)",湖南省株洲市茶陵县城关镇炎帝南路,,"1.中医妇科
2.中医外科
3.中医骨伤科
4.中医五官科
5.中医内科
"
炎陵县中医院,无,无,0733-6223000(院办),炎陵县霞阳镇井冈东路34号,,"1.内儿科
2.内科
3.急诊科
"
湘潭市中心医院,三级甲等,无,"0731-58214965(总值班室),0731-8214787(宣传科)",湘潭市和平路120号,,"1.心血管中心
2.内分泌代谢科
3.感染内科
4.肾病风湿免疫专科
5.消化内科
6.神经内科
7.普通内科
8.呼吸与危重症专科
9.急诊科
10.全科医学科
11.血液科
12.肾内风湿免疫科
13.血液病淋巴瘤专科
14.肿瘤内科
15.南院区消化肝病肿瘤科
16.南院区呼吸内科
17.心内科
18.神经外科
19.普外科（胃肠外科）
20.脊柱外科
21.骨科
22.肝胆外科
23.泌尿外科
24.心胸外科
25.烧伤创疡整形科
26.肛肠科
27.口腔颌面头颈外科
28.普外科
29.妇产科
30.儿科
31.儿童保健科
32.南院区中医科儿科
33.生殖中心
34.中西结合科康复科
35.血液肿瘤科
36.心理诊疗科
37.耳鼻咽喉头颈外科
38.皮肤科
39.口腔科
40.重症医学科
41.眼科
42.颈肩腰腿痛专科
43.介入科
44.中西医结合男科
45.肿瘤外科
46.医学美容科
47.中医科
48.放疗中心
49.检验科
50.老干门诊
51.病理科
52.中医骨科
53.疼痛科
54.超声科
55.核医学科
56.康复科
57.公共卫生临床医疗中心
58.健康管理中心
59.中西结合科
60.全激光近视诊疗中心
61.南院区急诊科
62.南院区血液净化室
63.普外科（乳甲外科）
64.南院区康复医学科
65.南院区神内肾内老干科
"
湘潭市中医院,三级甲等,无,"0731-55519277(院办),0731-58223370(急诊)",湘潭市人民路238号,,"1.骨伤科
2.皮肤科
3.外科
4.肛肠科
5.内科
6.针灸科
7.乳腺科
8.风湿科
9.妇科
10.五官科
11.儿科
12.矫形科
13.中西医结合科
14.草药科
15.脊柱外科
16.麻醉科
"
湘潭市口腔医院,无,无,0732-8263859(办公室),湖南省湘潭市雨湖路95号,,"1.口腔正畸科
2.牙体牙髓科
3.口腔颌面外科
4.口腔修复科
5.口腔内科
6.儿童牙病科
7.种植科
8.牙周科
9.特诊室
10.急诊科
"
湘潭市妇幼保健院,三级甲等,无,0731-58528904(院办),湘潭市东湖路295号,,"1.妇科
2.儿内科
3.精神科
4.儿保科
5.优生遗传科
6.骨科
7.产科
8.新生儿科
9.外科
10.皮肤性病专科
11.内科
12.乳腺专科
13.中医科
"
湘潭市眼科医院,无,无,0732-8221585(办公室),湘潭市建设北路221号,,"1.眼科
2.中医科
"
湘潭县妇幼保健院,无,无,0731-57888119,湘潭县易俗河镇云龙中路27号,,"1.儿科
2.新生儿科
3.介入科
"
尚如湖铁医院,无,无,0731-56806346(咨询),湘潭市湘乡市城西路,,"1.心血管内科
"
岳阳市一人民医院,三级甲等,无,"0730-8246724(总机),0730-8246482(预约)",湖南省岳阳市东茅岭路39号,,"1.心血管内科
2.神经内科
3.内分泌科
4.感染病科
5.肾内科
6.消化内科
7.老干科
8.呼吸内科
9.血液科
10.免疫科
11.高压氧科
12.急诊科
13.关节骨病科
14.神经外科
15.普外科
16.创伤骨科
17.移植泌尿科
18.泌尿外科
19.脊柱外科
20.胸心外科
21.烧伤整形美容科
22.肝胆外科
23.儿科
24.妇产科
25.新生儿科
26.眼科
27.肿瘤科
28.口腔科
29.重症医学科ICU
30.皮肤科
31.耳鼻咽喉科
32.中医科
33.康复医学科
34.麻醉科
35.超声科
36.制剂科
37.放射科
38.体检中心
39.检验科
40.病理科
41.磁共振室
"
汨罗市人民医院,无,无,0730-5222266(院办),湖南省汨罗市人民路44号,,"1.内科
2.神经内科
3.急诊科
4.骨科
5.外科
6.妇产科
7.儿科
8.口腔科
9.皮肤科
10.中医科
11.传染科
12.麻醉科
"
岳阳市中医医院,三级甲等,无,0730-8831777(总机),岳阳市枫桥湖路269号,,"1.中医内科
2.骨伤科
3.肛肠科
4.中医妇科
5.颈肩腰腿痛科
6.针灸推拿科
7.五官科
8.皮肤科
9.儿科
10.神经内科
11.外科
12.肾病风湿病科
13.妇产科
14.消化内科
15.口腔科
16.急诊科
17.脑病科
18.肿瘤科
"
湘阴县人民医院,无,无,0730-2223680,湖南省岳阳市湘阴县文星镇先锋路,,"1.内科
2.外科
3.骨科
4.妇产科
5.儿科
6.中医科
7.检验科
8.功能科
9.耳鼻咽喉科
10.放射科
"
君山区第二人民医院,无,无,无,钱粮湖镇,,"1.妇产科
"
岳阳县人民医院,无,无,0730-7620615,岳阳县城关镇天鹅路65号,,"1.耳鼻喉
"
湖南省临湘市人民医院,无,无,0730-3711111(咨询),临湘市长安西路25号,,"1.呼吸科
"
岳阳市康复医院,无,无,0730-8736564,湖南省岳阳市福颐路48号,,"1.老年病科
"
邵阳市第一人民医院,无,无,"0739-5224301(总机),0739-5012999(急诊),0739-5255555",邵阳市双清区双清区通衡街39号,,"1.心血管内科
2.肾病内科
3.内分泌科
4.呼吸内科
5.神经内科
6.消化内科
7.急诊科
8.外科
9.骨外科
10.泌尿外科
11.神经外科
12.整形外科
13.儿科
14.妇产科
15.皮肤科
16.耳鼻喉科
17.中医综合科
18.口腔综合科
19.医学影像科
20.麻醉科
21.康复科
22.检验科
23.眼科
24.ICU
25.病理科
26.传染科
"
邵阳医专附属医院,无,无,"0739-5321193(健康热线),0739-5317575(挂号咨询),0739-5500120(急救)",邵阳市宝庆西路16号,,"1.内分泌科
2.内科
3.神经内科
4.血液透析中心
5.心血管内科
6.急诊科
7.外科
8.儿科
9.妇产科
10.口腔科
11.五官科
12.放射科
13.传染病科
14.影像中心
15.中医科
"
邵阳市中医医院,三级甲等,无,"0739-5277721(医务科),0739-5103123(社区服务)",邵阳市东大路631号(邵阳市东风路115号),邵阳市中医院（肿瘤医院)建于1956年分别位于我市最繁华地段东风路及交通要道东大路。是邵阳市惟一的肿瘤专科医院、湖南中医学院教学医院、省中医药高等 专科学校在邵阳市惟一定点的实习医院、邵阳市交通事故 急救中心。      邵阳市中医院（肿瘤医院)是一家集医疗、教学、科研、康复、保健为一体的综合性三级甲等中医医院。肿瘤专科是目前全省惟一的重点中医肿瘤专科。 现有在职职工342人，编制床位260张。占 地 面积29200平方米，建筑面积29196平方米，其中医疗用 房建筑面积9122平方米。固定资产6100万元，医疗设备价值 1170万元 。设有放 疗中心、肿瘤内科、肿瘤外科、骨伤科、中医内科、急诊科、外科、儿科、妇产科、皮肤科、口腔科 、心理咨询科、疼痛科（含针灸理疗）、功能科、检验科、 放射 诊断及病理等科室。现有主任医师2名，副主任医师18名，中级医务人员87人，初级医务 人员150人。   拥有目前邵阳地区惟一治疗肿瘤的光子刀、电子直线加速器、模拟定位机、钴60放疗机和深部X光机等肿瘤治疗设备，具有世界领先水平的CT机、电子内窥镜、血球计数仪、多普 勒、彩色B超等大型医疗设备。运用中西医结合治疗肿瘤、骨伤骨病、内外科危急重症，针灸、推拿治疗颈椎病、椎间盘突出、肩周炎、面神经麻痹以及在治疗皮肤 、口腔、儿科常见病、多发病、疑难杂症等方面均取得良好的疗效。近年来，我院加强了重点专科建设，肿瘤专科 在运用中西医结合方法治疗肿瘤上取得了良好的疗效。2003年省中医管理局通过评审验收，正式确定我院为湖南省 中医肿瘤重点专科。我院与省肿瘤医院建立了长期的业务合作关系，并派肿瘤专家具体指导，进一步拓宽了肿瘤科 的治疗业务。肿瘤外科现能开展脑瘤、胸腹部肿瘤、妇科、四肢及骨软组织肿瘤的根治或姑息性手术，肿瘤内科能 开展光子刀、适形放疗、常规放疗、化疗、生物治疗和中草药治疗。骨伤专科能开展颅脑、胸腹、脊柱、髋关节及 血管、神经吻合等大型骨伤手术，先后研制、创新和引进100余项先进正骨新技术。肿瘤、骨伤专科已发展成为规 模较大、功能齐全、影响较广的“拳头”科室。自行研制的20多种特效纯中药专科制剂治疗类风湿、慢支、骨伤肿瘤等疾病取得了良好的疗效。     近年来，邵阳市中医院坚持从严治院，强化管理，先后被省中医管理局授予“先进中医医院”、“放心药房”、“省级 文明卫生单位”，市政府授予“花园式单位”、“社会公众最满意的医疗单位”等荣誉称号。连续五年获市卫生 局“双文明目标管理先进单位”，肿瘤内科、伤科分别获得省、市级“青年文明号”称号。     邵阳市中医院始终坚持“一切以病人为中心”的宗旨，树立诚信理念，进一步端正服务思想，增强服 务意识，提高服务 质量，更好地为广大病 友服务。,"1.中医内科
2.骨关节外科
3.呼吸肿瘤科
4.中医皮肤科
5.妇产科
6.针灸科
7.儿科
8.肿瘤内科
9.脾胃肺病科
10.心血管科
11.肾病科
12.脑病科
13.消化肿瘤科
14.肿瘤放射治疗科
15.脊柱外科
16.消化泌尿肿瘤内科
17.骨伤科
18.口腔科
19.药剂科
20.妇瘤科
21.乳腺科
22.急诊科
23.疼痛科
24.科研科
25.微创介入科
26.头颈肿瘤外科
27.重症医学科
28.肿瘤科
29.普外科
"
邵东县人民医院,无,无,0739-2721150(院办),邵东县西市镇人民路95号,,"1.内科
2.急诊科
3.骨伤科
4.普外科
5.儿科
6.中医科
7.功能科
8.眼科
9.超声诊断科
"
洞口县人民医院,无,无,"0739-7131987(院办),0739-7140120(急救)",洞口县洞口镇洞绥路123号,,"1.内科
2.心血管内科
3.神经外科
4.外科
5.中医内科
"
邵阳市第二人民医院,无,无,"0739-5290268,0739-5294200",邵阳市五一北路121号（工业街）,,"1.内科
2.神经内科
3.外科
4.中医科
5.检验科
6.放射科
"
邵阳县人民医院,无,无,0739-6821112,邵阳县塘渡口镇,,"1.神经内科
"
涟源市人民医院,无,无,0738-4426062(院办),涟源市交通路19号,,"1.心内科
2.神经内科
3.普通内科
4.肾内科
5.血液内科
6.呼吸内科
7.急诊科
8.骨外科
9.普外科
10.胸外科
11.泌尿科
12.肛肠科
13.神经外科
14.小儿科
15.妇产科
16.传染科
17.放射科
18.功能科
19.中医科
20.检验科
21.理疗科
22.麻醉科
23.皮肤科
24.五官科
"
冷水江市中医院,无,无,"0738-5212590,07385213590",湖南省冷水江市建新街52号,,"1.骨伤科
2.外科
3.小儿科
4.肛肠科
5.内科
6.针灸推拿中心
7.肾病专科
8.口腔科
9.妇产科
10.检验科
11.麻醉科
12.功能科
13.烧伤科
14.急诊科
15.心电图
16.CT室
"
涟源市中医院,无,无,0738-4490912,涟源市蓝田办事处文光村,,"1.内科
2.外科
3.骨科
4.烧伤科
5.中医眼科
"
娄底市中医院,无,无,"0738-8878022(总机),0738-8872682(办公室),0738-8878120(急诊)",娄底市乐坪西街(华达机械厂对面),,"1.中医心内科
2.骨科
3.肛肠科
4.中医内科
5.皮肤性病科
6.儿科
7.中医呼吸科
8.内科
9.中医眼科组
10.外科
11.疼痛科
"
娄底四一八医院,无,无,0738-8315421(院办),娄底市长青路4号,娄底四一八医院是一所一级甲等医院，创办以来，始终坚持“以病人为中心”的服务宗旨，经过20年壮大发展，医院由单一的治疗服务功能，转变为以治疗、康复、保健、健康教育为主的多功能综合型医院。是市、区二级医保、农村合作医疗、人保、劳动能力鉴定等定点医院。是多年来消费者信得过单位。2006年全市消费者协会组织的最有影响力行业的品牌评选中，被评为娄底市医疗行业唯一的品牌医院，多次被省局评为优秀企业，被418队评为双文明单位。　　    娄底四一八医院现有职工70余人，90％以上为医疗技术人员，80％以上具有大中专以上学历。有2名副主任医师，16名主治医师，5名主管医师。我院开设内科、儿科、外科、妇产科、五官科、中医科、理疗科、放射科、检验科、B超、胃镜、脑电图、康复等10多个科室。住院部有内科、外科、妇产科、有高、中、低档病床60余张。我院有电子胃镜、三维牵引床、彩色B超、多普勒、500mAX光机、前列腺多功能治疗仪、ZZ型肛肠治疗仪、多功能牙科治疗仪、牙科光固化机及进口洁牙机等40多台套设备，能开展各项检查和治疗，　　    娄底四一八医院内科以治疗心脑血管病为特色：外科能开展胆囊切除、胆管取石、胃次全切除、甲状腺次全切除、肾、输尿管取石、烧伤植皮、骨科复位、腰椎间盘突出等多领域的手术；妇产科能开展宫外孕病灶消除、卵巢肿瘤摘除、剖宫取胎、子宫切除等大中小手术，门诊开展无痛流产术和不孕症的治疗；五官科能开展补牙、上牙、洁牙、青光眼、泪道手术、鼻息肉、鼻中隔矫正、扁桃体切除等。,"1.呼吸内科
2.内科
3.消化内科
4.心血管内科
5.外科
6.妇产科
7.中医科
8.眼科
"
娄底市康复医院,无,无,0738-8800081,长青西街汽车站,,"1.精神科
"
江永县人民医院,无,无,0746-5723901,江永县潇浦镇城南路2号,,"1.内科
2.外科
3.妇产科
4.皮肤科
5.眼科
"
祁阳县人民医院,无,无,0746-3222344(办公室),湖南省永州市祁阳县浯溪镇民生路89号,,"1.呼吸科
2.内科
3.外科
4.骨科
5.妇产科
6.五官科
7.中医科
8.肿瘤科
9.药剂科
10.检验科
11.康复科
"
江华县瑶族自治区妇幼保健院,无,无,0746-2322375,江华瑶族自治县沱江镇苍松路25号,江华县妇幼保健院始建于1955年，占地1万余平方米，建筑面积6382平方米，在职职工68人，卫技人员61人，中高级职称16人，床位28张，下辖23个乡（镇、场）及全县497个行政村的妇幼保健业务指导。1995年被国家卫生部、联合国儿童基金会，世界卫生组织授予“爱婴医院”，1998年通过湖南省“一级甲等妇幼保健院”评审，院内设妇女保健科、儿童保健科、妇产科、儿科、生殖健康科（性病、不孕症专业等）。婚姻保健科、检验科、放射科、健康教育信息科、药剂科等职能科室。    江华县妇幼保健院主要设备有多功能手术台、妇科微波治疗仪、超净工作台、日本进口B超、心电图、200mAX光机、红外线乳腺诊断仪、尿11项分析仪、麻醉监护仪及电化教学器材等先进设备，是全县的妇女、儿童医疗保健中心，2000年被永州评为精神文明建设先进单位。,"1.妇产科
2.儿科
3.内科
4.检验科
"
江华瑶族自治县人民医院,无,无,0746-2323480(院办),湖南省永州市江华瑶族自治县沱江镇苍松路2号,,"1.内科
2.外科
3.中医内科
4.药剂科
5.麻醉科
6.放射科
"
永州市第二中医院,无,无,0746-6223421(办公室),永州市芝山区中山南路62号,,"1.骨伤科
2.小儿科
3.神经内科
4.中医科
"
永州市中心医院,三级甲等,无,0746-8331414(北院总机),"湖南省永州市零陵区潇水西路151号(南院),永州市冷水滩区逸云路39...",,"1.消化内科
2.急诊科
3.风湿免疫科
4.小儿内科
5.神经外科
6.麻醉科
"
永州市第一人民医院,无,无,"0746-6777937(导诊),0746-6777077(急诊)",永州市零陵区南津北路338号,,"1.中西医结合科
2.妇产科
"
益阳市人民医院,无,无,0737-4324149(院办公室),益阳市五一西路232号,,"1.感染科
2.心脑血管病专科
3.肾脏病专科
4.消化内科
5.呼吸内科
6.血液内科
7.神经内科
8.急诊科
9.肛肠专科
10.骨外科
11.普外科
12.肾移植科
13.泌尿外科
14.神经外科
15.儿科
16.妇产科
17.中医内科
18.眼科
19.口腔科
20.耳鼻喉科
21.超声科
22.麻醉科
23.药剂科
24.检验科
25.医学美容整形科
26.病理科
27.放射科
"
益阳市中西医结合医院,三级甲等,无,0737-4424449(院办),益阳市七里桥罗溪南路58号,,"1.五官科
2.中医按摩科
3.中医内科
4.中医妇科
5.中医皮肤科
6.骨伤科
7.中医肛肠科
8.外科
9.药剂科
10.康复科
"
桃江县中医院,无,无,"0737-8822936(院办),0737-8201920",湖南省桃江县桃花江镇建设中路108号,,"1.中医内科
2.妇产科
3.皮肤性病科
4.外科
5.急诊科
6.口腔科
7.超声诊断科
"
益阳市第三人民医院,无,无,0737-4400449(院办),湖南省益阳市赫山区建设路12号,,"1.内科
2.心内科
3.感染科
4.急诊科
5.外科
6.骨科
7.妇产科
8.儿科
9.五官科
"
桃江县人民医院,无,无,0737-8882192,湖南省益阳市桃江县桃花江镇桃花中路82号,,"1.感染科
"
怀化市第三人民医院,无,无,"0745-2232507(总值班),0745-2234336(医务科)",湖南省怀化市天星路231号,,"1.内科
2.神经内科
3.消化内科
4.心血管内科
5.感染科
6.肾病内科
7.高压氧科
8.急救中心
9.普外科
10.泌尿外科
11.神经外科
12.骨外科
13.妇产科
14.儿科
15.中医内科
16.康复科
17.影像科
18.药剂科
19.眼科
20.麻醉科
21.功能科
22.核医学科
23.检验科
24.肿瘤内科
25.病理科
26.口腔科
27.耳鼻喉
"
沅陵县人民医院,无,无,"0745-4224757(办公室),0745-4229612(院办)",湖南省沅陵县辰州东街,,"1.内科
2.急诊科
3.外科
4.妇产科
5.儿童保健科
6.儿科
7.理疗科
8.麻醉科
9.检验科
10.中医科
11.功能科
12.皮肤科
13.五官科
14.放射科
"
怀化市第二人民医院靖州分院,无,无,0745-8221134(院办),湖南省靖州县渠阳西路,,"1.内科
2.急诊科
3.外科
4.妇产科
5.儿科
6.口腔科
7.康复科
8.五官科
9.传染科
10.皮肤性病科
11.中医科
"
新晃县人民医院,无,无,"0745-6222154(院办),0745-6222120(急救电话)",湖南省怀化市新晃县新晃镇解放路 21号,,"1.普外科
2.儿科
"
张家界市人民医院,无,无,无,无,,"1.内科
2.心血管内科
3.血液肿瘤内科
4.泌尿内科
5.消化内科
6.呼吸内科
7.普外科
8.泌尿外科
9.妇产科
10.儿科
11.新生儿科
12.皮肤科
13.耳鼻咽喉-头颈外科
14.中医科
15.眼科
16.疼痛专科
17.超声诊断科
18.干部保健专科
19.简易门诊
"
桑植县人民医院,无,无,0744-6223218,桑植县和平,,"1.呼吸内科
2.心内科
3.普内科
4.外科
5.骨外科
6.儿科
7.功能科
8.检验科
9.药剂科
10.放射科
"
湘西自治州人民医院,无,无,"0743-8222528(院办公室),0743-8222417(急诊科)",吉首市乾州世纪大道与建新路交汇处,,"1.呼吸内科
2.消化内科
3.内分泌科
4.肾病内科
5.心内科
6.高压氧科
7.感染内科
8.老年病科
9.普通内科
10.血液科
11.神经内科
12.急诊科
13.普外科
14.神经外科
15.骨科
16.手外科
17.泌尿外科
18.心胸外科
19.脊柱外科
20.乳甲外科
21.妇产科
22.儿科
23.儿童保健康复科
24.肿瘤科
25.传染科
26.口腔科
27.眼科
28.激光整形美容科
29.中医科
30.皮肤科
31.放射科
32.重症医学科
33.烧伤外科
34.麻醉科
35.耳鼻喉科
36.疼痛科
37.精神科
38.超声科
39.核医学科
40.检验科
41.病理科
42.康复科
"
泸溪县人民医院,无,无,无,无,,"1.儿科
2.康复科
"
四川省医学科学院・四川省人民医院,三级甲等,综合,"028-87393999(总机),028-114(预约挂号),87394243,87393928,87393927,87795180(咨询),84848120(城东病区)",总院:四川省成都市一环路西二段32号;社区服务门诊:省医院第二门诊部...,,"1.心血管内科
2.神经内科
3.消化科
4.风湿免疫科
5.内分泌科
6.老年科
7.呼吸科
8.肾脏内科
9.感染科
10.血液科
11.高压氧治疗中心
12.急救中心
13.普通内科
14.骨科
15.乳腺外科
16.神经外科
17.泌尿外科
18.肝胆胰外科
19.整形外科
20.普外科
21.器官移植中心
22.胸外科
23.心脏外科中心
24.血管甲状腺专科
25.肛肠科
26.胃肠外科
27.细胞移植中心
28.小儿外科
29.妇科
30.儿科
31.产科
32.遗传咨询科
33.儿保科
34.体检中心
35.预防保健科
36.皮肤病性病研究所(皮肤科)
37.眼科
38.耳鼻喉科
39.辅助生殖医学中心
40.心身医学中心
41.肿瘤科
42.皮肤病研究所・皮肤外科
43.中医妇科
44.口腔科
45.中医骨科
46.颌面外科
47.男科
48.中医内科
49.中医肛肠科
50.PICC门诊
51.康复科
52.超声科
53.口腔修复科
54.中医儿科
55.口腔正畸科
56.核医学科
57.肝病科
58.烧伤外科
59.全科医学中心
60.重症医学科
61.放射科
62.针灸推拿科
63.药学部
64.儿童口腔科
65.麻醉科
66.营养科
67.健康管理中心
68.司法鉴定科
69.种植科
70.病理科
71.中医治未病科
72.中西医结合科
73.检验科
74.疼痛科
75.呼吸与危重症医学科
76.医学影像科
"
成都军区总医院,三级甲等,无,"028-86570317(挂号室),028-86570073(大厅导医台),028-86571030(三楼导医台),028-86571067(四楼导医台),028-86570326(急救)",成都市蓉都大道天回路270号,,"1.心血管内科
2.神经内科
3.消化内科
4.肾脏病科
5.呼吸内科
6.内分泌科
7.血液科
8.感染科
9.干部病房
10.高压氧科
11.急诊科
12.心胸外科
13.肝胆外科
14.骨科
15.泌尿外科
16.神经外科
17.普通外科
18.烧伤整形科
19.妇产科
20.小儿科
21.儿保科
22.耳鼻喉科
23.中医科
24.肿瘤科
25.口腔科
26.康复科
27.皮肤性病科
28.麻醉科
29.眼科
30.重症医学科
31.营养科
32.放疗科
33.病理科
34.超声诊断科
35.核医学科
36.药剂科
37.检验科
38.医学影像科
"
成都市妇女儿童中心医院,三级甲等,无,"028-61866000(总机),028-61866023(门诊办),028-61866186(咨询),028-87467888(咨询)",成都市西三环外日月大道1段1617号,,"1.产科
2.妇科
3.妇科内分泌中心
4.儿童普外科
5.小儿呼吸科
6.耳鼻喉科
7.儿童保健指导中心
8.儿童肾脏内科
9.儿童消化内科
10.小儿皮肤科
11.小儿内分泌科
12.儿童血液与肿瘤内科
13.儿科
14.小儿神经内科
15.儿童心血管科
16.儿童康复科
17.新生儿科
18.产前诊断科
19.小儿骨科
20.小儿泌尿科
21.小儿急诊科
22.生殖中心
23.中医科
24.眼科
25.乳腺外科
26.妇女保健中心
27.口腔科
28.介入科
29.儿童重症医学科
30.小儿内科
31.放射科
32.超声科
33.麻醉科
34.检验科
35.体检中心
36.中医乳腺科
37.全科医学科
38.病理科
"
成都医学院第一附属医院,三级甲等,无,"028-83016600(总值班室),028-83016824(预约挂号),028-83999111,83999222(急诊)",四川省成都市新都区宝光大道278号,,"1.呼吸与危重症医学科
2.消化内科
3.心血管内科
4.神经内科
5.普内科
6.感染科
7.血液风湿科
8.内分泌科
9.老年医学科
10.肾病科
11.急诊科
12.风湿免疫科
13.全科医学科
14.胸心外科
15.胃肠外科
16.关节外科
17.泌尿外科
18.血管肝胆外科
19.脊柱外科
20.神经外科
21.骨科
22.甲状腺乳腺外科
23.普通外科
24.心血管外科
25.肛肠科
26.产科
27.儿科
28.妇科
29.中西医结合科
30.肿瘤科
31.耳鼻喉科
32.重症医学科
33.超声科
34.口腔科
35.烧伤整形科
36.皮肤性病科
37.眼科
38.放射科
39.病理科
40.康复医学科
41.麻醉科
42.预防保健科
43.血管外科
44.药学部
45.体检中心
46.医学影像科
47.医学检验科
"
